train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.96511626	0.60000002	0.99451754	0.72	0.28029533	0.57188731	0.2	3.0	2.0	2.0	3.0	12.24207139	70.0	0.0	1.0
0.91860467	0.80000001	0.98410088	0.84	0.36256712	0.5243901	0.6	4.0	1.0	1.0	4.0	13.17208624	50.0	1.0	1.0
1.0	0.80000001	1.0	0.92	0.0563855	0.36997196	0.6	4.0	1.0	1.0	4.0	16.7322731	303.0	2.0	1.0
1.0	0.69999999	1.0	0.875	0.07395051	0.40712777	0.40824829	3.0	1.0	2.0	4.0	19.74311471	256.0	3.0	1.0
0.73255813	0.30000001	0.85706492	0.16666667	0.56626712	0.8783493	-0.35634832	2.0	2.0	5.0	1.0	20.34549761	11.0	4.0	1.0
0.96511626	0.5	0.99672668	0.66666667	0.28443973	0.58523452	-0.08908708	1.0	3.0	2.0	4.0	21.66593075	69.0	5.0	1.0
1.0	0.77777779	1.0	0.85	0.14250418	0.4438659	0.55	3.0	1.0	1.0	4.0	23.78127003	149.0	6.0	1.0
1.0	0.8888889	1.0	0.95	0.04591866	0.32398731	0.8	4.0	0.0	1.0	4.0	28.05870843	341.0	7.0	1.0
0.65517241	0.44444445	0.7590812	0.3	0.63375021	0.80016559	-0.1	2.0	2.0	3.0	2.0	28.77130938	6.0	8.0	1.0
0.96551722	0.55555558	0.99679487	0.7	0.2762086	0.67876506	0.1	2.0	2.0	2.0	3.0	30.21566844	70.0	9.0	1.0
